"gvkey","tic","conm","PC1","PC2","PC3","prccq","growth","big_growth"
1004,"AIR","AAR CORP",1.40976384424608,0.212454389024223,-0.18735808841058,43.69,0.0507455507455507,"NO"
1045,"AAL","AMERICAN AIRLINES GROUP INC",-2.80931390251691,0.224636307724821,1.43661205805058,32.11,-0.38285604458966,"NO"
1050,"CECE","CECO ENVIRONMENTAL CORP",1.52472158390997,0.439643381174152,-0.167856079798173,6.75,0.315789473684211,"YES"
1062,"ASA","ASA GOLD AND PRECIOUS METALS",1.57366870103865,0.638440296787051,0.0122754105904349,8.66,-0.216473951830339,"NO"
1072,"AVX","AVX CORP",1.28126456764774,0.452912935871599,0.0929383212292165,15.25,-0.11849710982659,"NO"
1075,"PNW","PINNACLE WEST CAPITAL CORP",0.36976222932136,-0.486061307275207,-0.0128363890220993,85.2,0.000234796900680864,"NO"
1076,"AAN","AARON'S INC",0.886527959674195,-0.359883538121258,-0.396415538440281,42.05,0.0552070263488079,"NO"
1078,"ABT","ABBOTT LABORATORIES",-5.09928301784927,0.927797449919125,2.77076904727822,72.33,0.26739092342737,"NO"
1094,"ACETQ","ACETO CORP",1.56920169813279,0.305156149417603,-0.156641897517946,0.84,-0.918683446272991,"NO"
1097,"ACMTA","ACMAT CORP  -CL A",1.57243579548488,0.208204623850261,-0.0174943996324567,29,0.444942700548082,"YES"
1104,"ACU","ACME UNITED CORP",1.53262333464558,0.178075231695901,-0.189843834685333,14.25,-0.391025641025641,"NO"
1117,"BKTI","BK TECHNOLOGIES CORP",1.56057708477988,0.479411091733629,-0.0677949187472449,3.75,0.0563380281690141,"NO"
1121,"AE","ADAMS RESOURCES & ENERGY INC",1.46608162776879,0.0949838294512582,-0.199089045152079,38.71,-0.110114942528736,"NO"
1161,"AMD","ADVANCED MICRO DEVICES",-1.22956649925275,0.864746654122751,1.30335726474471,18.46,0.795719844357977,"YES"
1166,"ASMIY","ASM INTERNATIONAL NV",0.275279128081369,-1.19952474531972,-0.484839668838671,41.382,0.0889999999999999,"NO"
1186,"AEM","AGNICO EAGLE MINES LTD",0.489584737338094,0.25973134315955,-0.0905994908484967,40.4,-0.125162407968818,"NO"
1209,"APD","AIR PRODUCTS & CHEMICALS INC",-0.00819036993190003,-0.938497966400934,-0.149955696498312,160.05,-0.0245611896635787,"NO"
1210,"AIRT","AIR T INC",1.55388752676809,0.151761923207315,-0.28469842207159,24.5,-0.00778383457124111,"NO"
1230,"ALK","ALASKA AIR GROUP INC",-0.286813247821335,-0.9696423420133,-0.799974865400926,60.85,-0.172221466467147,"NO"
1234,"ATRI","ATRION CORP",1.06255560245698,-5.15409156690724,0.198206536202603,741.08,0.175198223913733,"NO"
1254,"MATX","MATSON INC",1.00081120288556,-0.532094117356944,-0.475979324504465,32.02,0.0730563002680966,"NO"
1257,"ALX","ALEXANDER'S INC",0.857518752190048,-4.68090234399561,0.355484250213302,304.74,-0.230162940507768,"NO"
1266,"ALCO","ALICO INC",1.58418457478279,0.209522283419065,-0.344169890173305,29.5,0,"NO"
1274,"Y","ALLEGHANY CORP",-0.0318558941998207,-3.70759921885751,0.216483164918085,623.32,0.0456810213222836,"NO"
1300,"HON","HONEYWELL INTERNATIONAL INC",-4.15931894060786,0.0667830821384684,4.87324518014747,132.12,-0.13849765258216,"NO"
1327,"SWKS","SKYWORKS SOLUTIONS INC",0.717674240653973,-0.490313107080547,0.0698899215272765,67.02,-0.294154818325434,"NO"
1380,"HES","HESS CORP",5.2343108695181,2.78712056463535,5.37242568527271,40.5,-0.146829576574679,"NO"
1393,"UHAL","AMERCO",-0.530378766155313,-8.15403021106626,-0.904687814873541,328.11,-0.131777407319203,"NO"
1397,"ABLT","AMERICAN BILTRITE INC",-2.47329234311461,-43.8996017492039,1.72095609062972,510,0,"NO"
1410,"ABM","ABM INDUSTRIES INC",1.08429104159712,0.12378668688367,-0.0543452292612224,30.75,-0.267333809864189,"NO"
1414,"PRI","PRIMERICA INC",0.752272331479397,-1.14024153302756,-0.189393700463897,97.71,-0.0378138847858198,"NO"
1439,"ECOL","US ECOLOGY INC",1.41834793284633,-0.234606523205252,-0.168814257307467,62.98,0.234901960784314,"NO"
1440,"AEP","AMERICAN ELECTRIC POWER CO",-3.32034921136233,-0.151982318004715,-0.464660884870452,74.74,0.0159032214217752,"NO"
1447,"AXP","AMERICAN EXPRESS CO",-8.11137621558598,0.56014452618383,6.03774913325028,95.32,-0.0401772228375794,"NO"
1449,"AFL","AFLAC INC",-8.29634830642276,-1.81544728505143,-4.95573137631702,45.56,-0.480975165185692,"NO"
1487,"AIG","AMERICAN INTERNATIONAL GROUP",-1.50216095474742,2.53281437589799,20.1531971366359,39.41,-0.338536421617993,"NO"
1526,"ANAT","AMERICAN NATIONAL INSURANCE",-0.0620366380239305,-3.53546026613918,-0.31309148806734,127.24,-0.00787524366471739,"NO"
1545,"ARL","AMERICAN REALTY INVESTORS",1.56226849247208,0.507296576638254,0.10281715183285,12.07,-0.0607003891050583,"NO"
1562,"AMSWA","AMERICAN SOFTWARE  -CL A",1.57685237407988,0.313619607276413,-0.102191148203133,11.51,-0.072522159548751,"NO"
1585,"AVD","AMERICAN VANGUARD CORP",1.45385866666241,0.27996637518355,-0.233930625968481,15.19,-0.226972010178117,"NO"
1598,"AME","AMETEK INC",-0.0729657768863714,-0.158329794550898,-0.613278866955705,67.7,-0.0658203394508072,"NO"
1602,"AMGN","AMGEN INC",-3.03367073289962,-0.20783082792642,8.48093916847672,194.67,0.11943645773433,"NO"
