Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
12-Mar-14,Wednesday,2,Mar,2014,,No Email Drop,461,,,,,,
13-Mar-14,Thursday,2,Mar,2014,,"25% Off,FS on $49",561,,,,,,
14-Mar-14,Friday,2,Mar,2014,,"Lucky Saving,17% Off,FS on $49",388,,,,,,
15-Mar-14,Saturday,3,Mar,2014,,No Email Drop,173,,,,,,
16-Mar-14,Sunday,3,Mar,2014,,"Lucky Saving,17% Off,FS on $49",362,,,,,,
17-Mar-14,Monday,3,Mar,2014,,"Lucky Saving,17% Off,FS on $49",476,,,,,,
18-Mar-14,Tuesday,3,Mar,2014,,"$10 Off,FS on $49",600,,,,,,
19-Mar-14,Wednesday,3,Mar,2014,,"$10 Off,FS on $49",531,,,,,,
20-Mar-14,Thursday,3,Mar,2014,,Free Ship No Min,449,,,,,,
21-Mar-14,Friday,3,Mar,2014,,"Up To 20% Off,FS on $49",701,,,,,,
22-Mar-14,Saturday,4,Mar,2014,,No Email Drop,542,,,,,,
23-Mar-14,Sunday,4,Mar,2014,,"Reveal Your Deal Promo,20, 25, 30% Off,FS on $75",518,,,,,,
24-Mar-14,Monday,4,Mar,2014,,No Email Drop,403,,,,,,
25-Mar-14,Tuesday,4,Mar,2014,,"$10 Off,FS on $49",619,,,,,,
26-Mar-14,Wednesday,4,Mar,2014,,"$10 Off,FS on $49",503,,,,,,
27-Mar-14,Thursday,4,Mar,2014,,"Treat Thursday,Double Points,Up to 40% Off,FS on $49",435,,,,,,
28-Mar-14,Friday,4,Mar,2014,,No Email Drop,297,,,,,,
29-Mar-14,Saturday,5,Mar,2014,,Free Ship No Min,440,,,,,,
30-Mar-14,Sunday,5,Mar,2014,,No Email Drop,306,,,,,,
31-Mar-14,Monday,5,Mar,2014,,"Flash Sale,30% Off,FS on $49",1020,,,,,,
1-Apr-14,Tuesday,1,Apr,2014,,"Flash Sale,30% Off,FS on $49",1023,,,,,,
2-Apr-14,Wednesday,1,Apr,2014,,No Email Drop,395,,,,,,
3-Apr-14,Thursday,1,Apr,2014,,"Treat Thursday,12 Items,FS on $49",366,,,,,,
4-Apr-14,Friday,1,Apr,2014,,"$20 Off,FS on $80",385,,,,,,
5-Apr-14,Saturday,1,Apr,2014,,No Email Drop,237,,,,,,
6-Apr-14,Sunday,1,Apr,2014,,"$20 Off,FS on $80",418,,,,,,
7-Apr-14,Monday,1,Apr,2014,,"20% Off,FS on $49",387,,,,,,
8-Apr-14,Tuesday,2,Apr,2014,,"$10 Off,FS on $49",624,,,,,,
9-Apr-14,Wednesday,2,Apr,2014,,No Email Drop,295,,,,,,
10-Apr-14,Thursday,2,Apr,2014,,"Treat Thursday,12 Treats,FS on $49",354,,,,,,
11-Apr-14,Friday,2,Apr,2014,,"20% Off,FS on $49",410,,,,,,
12-Apr-14,Saturday,2,Apr,2014,,No Email Drop,289,,,,,,
13-Apr-14,Sunday,2,Apr,2014,,No Email Drop,271,,,,,,
14-Apr-14,Monday,2,Apr,2014,,"20% Off,FS on $49",569,,,,,,
15-Apr-14,Tuesday,3,Apr,2014,,"$15 Off,FS on $49",1003,,,,,,
16-Apr-14,Wednesday,3,Apr,2014,,No Email Drop,327,,,,,,
17-Apr-14,Thursday,3,Apr,2014,,"Treat Thursday,Up to 50% on Select Items,20% Off,FS on $49",339,,,,,,
18-Apr-14,Friday,3,Apr,2014,,"15% Off,FS on $75",369,,,,,,
19-Apr-14,Saturday,3,Apr,2014,,"15% Off,FS on $75",355,,,,,,
20-Apr-14,Sunday,3,Apr,2014,,"Up To 40% Off,FS on $49",228,,,,,,
21-Apr-14,Monday,3,Apr,2014,,No Email Drop,401,,,,,,
22-Apr-14,Tuesday,4,Apr,2014,,"25% Off,FS on $49",525,,,,,,
23-Apr-14,Wednesday,4,Apr,2014,,No Email Drop,325,,,,,,
24-Apr-14,Thursday,4,Apr,2014,,"Treat Thursday,$5 Off,FS on $49",422,,,,,,
25-Apr-14,Friday,4,Apr,2014,,"Free Ship No Min,Up To 40% Off",594,,,,,,
26-Apr-14,Saturday,4,Apr,2014,,"Free Ship No Min,Up To 40% Off",666,,,,,,
27-Apr-14,Sunday,4,Apr,2014,,No Email Drop,393,,,,,,
28-Apr-14,Monday,4,Apr,2014,,"Up To 50% Off,FS on $49",583,,,,,,
29-Apr-14,Tuesday,5,Apr,2014,,No Email Drop,428,,,,,,
30-Apr-14,Wednesday,5,Apr,2014,,"Up To 50% Off,FS on $49",480,,,,,,
1-May-14,Thursday,1,May,2014,,"Treat Thursday,12 Treats,FS on $49",475,,,,,,
2-May-14,Friday,1,May,2014,,"$10 Off,FS on $49",663,,,,,,
3-May-14,Saturday,1,May,2014,,No Email Drop,285,,,,,,
4-May-14,Sunday,1,May,2014,,"RD Event,Up To 15% Off,FS on $49",261,,,,,,
5-May-14,Monday,1,May,2014,,"25% Off on Supplies,FS on $49",1491,,,,,,
6-May-14,Tuesday,1,May,2014,,No Email Drop,418,,,,,,
7-May-14,Wednesday,1,May,2014,,No Email Drop,323,,,,,,
8-May-14,Thursday,2,May,2014,,"Treat Thursday,$10 Off,",429,,,,,,
9-May-14,Friday,2,May,2014,,Free Ship No Min,461,,,,,,
10-May-14,Saturday,2,May,2014,,No Email Drop,207,,,,,,
11-May-14,Sunday,2,May,2014,,"$30 Off,FS on $100",275,,,,,,
12-May-14,Monday,2,May,2014,,"$30 Off,FS on $100",466,,,,,,
13-May-14,Tuesday,2,May,2014,,"$30 Off,FS on $100",750,,,,,,
14-May-14,Wednesday,2,May,2014,,"$5 Off Purina Bag,FS on $49",413,,,,,,
15-May-14,Thursday,3,May,2014,,"Treat Thursday,12 Treats,FS on $49",357,,,,,,
16-May-14,Friday,3,May,2014,,"$10 Off,FS on $49",563,,,,,,
17-May-14,Saturday,3,May,2014,,"$10 Off,FS on $49",397,,,,,,
18-May-14,Sunday,3,May,2014,,"$10 Off,FS on $49",358,,,,,,
19-May-14,Monday,3,May,2014,,"$10 Off,FS on $49",625,,,,,,
20-May-14,Tuesday,3,May,2014,,No Email Drop,344,,,,,,
21-May-14,Wednesday,3,May,2014,,No Email Drop,313,,,,,,
22-May-14,Thursday,4,May,2014,,"Treat Thursday,Up To 30% Off on Toys,FS on $49",281,,,,,,
23-May-14,Friday,4,May,2014,,"$5 Off,FS on $25",493,,,,,,
24-May-14,Saturday,4,May,2014,,No Email Drop,243,,,,,,
25-May-14,Sunday,4,May,2014,Previous Day of the-Memorial Day,"30-50% Off,FS on $49",301,,,,,,
26-May-14,Monday,4,May,2014,Memorial Day,"Flash Sale,Free Ship No Min,FSNM",518,,,,,,
27-May-14,Tuesday,4,May,2014,Next Day of the-Memorial Day,"30-50% Off,FS on $49",476,,,,,,
28-May-14,Wednesday,4,May,2014,,"30-50% Off,FS on $49",489,,,,,,
29-May-14,Thursday,5,May,2014,,"Treat Thursday,30-50% Off,FS on $49",460,,,,,,
30-May-14,Friday,5,May,2014,,"$10 Off,FS on $49",418,,,,,,
31-May-14,Saturday,5,May,2014,,"$10 Off,FS on $49",401,,,,,,
1-Jun-14,Sunday,1,Jun,2014,,"20% Off,FS on $49",275,,,,,,
2-Jun-14,Monday,1,Jun,2014,,No Email Drop,394,,,,,,
3-Jun-14,Tuesday,1,Jun,2014,,"20% Off,FS on $49",478,,,,,,
4-Jun-14,Wednesday,1,Jun,2014,,No Email Drop,363,,,,,,
5-Jun-14,Thursday,1,Jun,2014,,Treat Thursday,298,,,,,,
