Date,Day,WOM,Month,Year,Holidays,Promotions,"Actual 
Call Volume  ","Forecast 
Call Volume (using original System",,,,,
6-Nov-14,Thursday,1,Nov,2014,,"Reveal Your Deal Promo,15, 20% Off,",591,,,,,,
7-Nov-14,Friday,1,Nov,2014,,RD Event,416,,,,,,
8-Nov-14,Saturday,2,Nov,2014,,No Email Drop,308,,,,,,
9-Nov-14,Sunday,2,Nov,2014,,"20% Off,FS on $49 Omni",457,,,,,,
10-Nov-14,Monday,2,Nov,2014,Previous Day of the-Veteran's Day,No Email Drop,310,,,,,,
11-Nov-14,Tuesday,2,Nov,2014,Veteran's Day,Free Ship No Min,724,,,,,,
12-Nov-14,Wednesday,2,Nov,2014,Next Day of the-Veteran's Day,Free Ship No Min,338,,,,,,
13-Nov-14,Thursday,2,Nov,2014,,Free Ship No Min,280,,,,,,
14-Nov-14,Friday,2,Nov,2014,,"$5 Off,FS on $10",592,,,,,,
15-Nov-14,Saturday,3,Nov,2014,,"$5 Off,FS on $10",597,,,,,,
16-Nov-14,Sunday,3,Nov,2014,,"25% Off,FS on $49",307,,,,,,
17-Nov-14,Monday,3,Nov,2014,,"10% Off,FS on $49",493,,,,,,
18-Nov-14,Tuesday,3,Nov,2014,,"25% Off,FS on $49",343,,,,,,
19-Nov-14,Wednesday,3,Nov,2014,,"$15 eGC Visa Checkout,FS on $49",329,,,,,,
20-Nov-14,Thursday,3,Nov,2014,,"25% Off,FS on $49",272,,,,,,
21-Nov-14,Friday,3,Nov,2014,,Free Ship No Min,527,,,,,,
22-Nov-14,Saturday,4,Nov,2014,,RD Event,272,,,,,,
23-Nov-14,Sunday,4,Nov,2014,,"$5 Off Natural Dog and Cat Food,FS on $49",271,,,,,,
24-Nov-14,Monday,4,Nov,2014,,No Email Drop,368,,,,,,
25-Nov-14,Tuesday,4,Nov,2014,,"$5 Off Natural Dog and Cat Food,FS on $49",317,,,,,,
26-Nov-14,Wednesday,4,Nov,2014,Previous Day of the-Thanksgiving Day,"$5 Off Natural Dog and Cat Food,FS on $49",317,,,,,,
27-Nov-14,Thursday,4,Nov,2014,Thanksgiving Day,Thanksgiving,369,,,,,,
28-Nov-14,Friday,4,Nov,2014,Next Day of the-Thanksgiving Day,Black Friday,716,,,,,,
29-Nov-14,Saturday,5,Nov,2014,,Black Friday,495,,,,,,
30-Nov-14,Sunday,5,Nov,2014,,Cyber Savings,412,,,,,,
1-Dec-14,Monday,1,Dec,2014,,Cyber Savings,1358,,,,,,
2-Dec-14,Tuesday,1,Dec,2014,,Cyber Savings,491,,,,,,
3-Dec-14,Wednesday,1,Dec,2014,,Cyber Savings,533,,,,,,
4-Dec-14,Thursday,1,Dec,2014,,Cyber Savings,437,,,,,,
5-Dec-14,Friday,1,Dec,2014,,Cyber Savings,391,,,,,,
6-Dec-14,Saturday,1,Dec,2014,,"$15 Off,FS on $75",347,,,,,,
7-Dec-14,Sunday,1,Dec,2014,,"$15 Off,FS on $75",349,,,,,,
8-Dec-14,Monday,2,Dec,2014,,Tiered Promo,462,,,,,,
9-Dec-14,Tuesday,2,Dec,2014,,Tiered Promo,519,,,,,,
10-Dec-14,Wednesday,2,Dec,2014,,"Up To 15% Off,FS on $49",345,,,,,,
11-Dec-14,Thursday,2,Dec,2014,,Free Ship No Min,701,,,,,,
12-Dec-14,Friday,2,Dec,2014,,Free Ship No Min,530,,,,,,
13-Dec-14,Saturday,2,Dec,2014,,"20% Off on Supplies,FS on $49",391,,,,,,
14-Dec-14,Sunday,2,Dec,2014,,"20% Off on Supplies,FS on $49",415,,,,,,
15-Dec-14,Monday,3,Dec,2014,,RD Event,404,,,,,,
16-Dec-14,Tuesday,3,Dec,2014,,RD Event,346,,,,,,
17-Dec-14,Wednesday,3,Dec,2014,,Last Day For Standard Ship,398,,,,,,
18-Dec-14,Thursday,3,Dec,2014,,"2-Day, Overnight Ship",597,,,,,,
19-Dec-14,Friday,3,Dec,2014,,"25% Off,FS on $49",431,,,,,,
20-Dec-14,Saturday,3,Dec,2014,,Last Day For 2-Day Shipping,313,,,,,,
21-Dec-14,Sunday,3,Dec,2014,,Overnight Shipping,258,,,,,,
22-Dec-14,Monday,4,Dec,2014,,Last Day For Overnight Ship,377,,,,,,
23-Dec-14,Tuesday,4,Dec,2014,,"$15 Off,FS on $75",363,,,,,,
24-Dec-14,Wednesday,4,Dec,2014,Previous Day of the-Christmas Day,"Buy $25, Get $5,FS on $49",198,,,,,,
25-Dec-14,Thursday,4,Dec,2014,Christmas Day,Christmas Day - No Operations,0,,,,,,
26-Dec-14,Friday,4,Dec,2014,Next Day of the-Christmas Day,"50% Off,FS on $49",344,,,,,,
27-Dec-14,Saturday,4,Dec,2014,,"50% Off,FS on $49",234,,,,,,
28-Dec-14,Sunday,4,Dec,2014,,"Up To 40% Off,FS on $49",253,,,,,,
29-Dec-14,Monday,5,Dec,2014,,"Up To 40% Off,FS on $49",397,,,,,,
30-Dec-14,Tuesday,5,Dec,2014,,"Up To 35% Off,FS on $49",387,,,,,,
31-Dec-14,Wednesday,5,Dec,2014,Previous Day of the-New Year's Day,Free Ship No Min,636,,,,,,
1-Jan-15,Thursday,1,Jan,2015,New Year's Day,Omnichannel Promo,300,346,,,,,
2-Jan-15,Friday,1,Jan,2015,Next Day of the-New Year's Day,Omnichannel Promo,419,424,,,,,
3-Jan-15,Saturday,1,Jan,2015,,Omnichannel Promo,340,413,,,,,
4-Jan-15,Sunday,1,Jan,2015,,Omnichannel Promo,404,362,,,,,
5-Jan-15,Monday,1,Jan,2015,,"25% Off,FS on $49",389,432,,,,,
6-Jan-15,Tuesday,1,Jan,2015,,"15% Off,FS on $60",510,343,,,,,
7-Jan-15,Wednesday,1,Jan,2015,,"Up To 40% Off,FS on $49",350,382,,,,,
8-Jan-15,Thursday,2,Jan,2015,,"25% Off,FS on $49",337,400,,,,,
9-Jan-15,Friday,2,Jan,2015,,Free Ship No Min,671,464,,,,,
10-Jan-15,Saturday,2,Jan,2015,,"25% Off,FS on $49",296,412,,,,,
11-Jan-15,Sunday,2,Jan,2015,,"Up To 35% Off,FS on $49",277,347,,,,,
12-Jan-15,Monday,2,Jan,2015,,RD Event,329,414,,,,,
13-Jan-15,Tuesday,2,Jan,2015,,No Email Drop,298,300,,,,,
14-Jan-15,Wednesday,2,Jan,2015,,"Flash Sale,$10 Off,FS on $49",1366,600,,,,,
15-Jan-15,Thursday,3,Jan,2015,,"Flash Sale,$10 Off,FS on $49",646,396,,,,,
16-Jan-15,Friday,3,Jan,2015,,"Up To 40% Off,FS on $49",425,444,,,,,
17-Jan-15,Saturday,3,Jan,2015,,"Up To 40% Off,FS on $49",396,396,,,,,
18-Jan-15,Sunday,3,Jan,2015,Previous Day of the-Martin Luther King Jr. Day,"Up To 50% Off,FS on $49",291,359,,,,,
19-Jan-15,Monday,3,Jan,2015,Martin Luther King Jr. Day,"$15 eGC,Up To 40% Off,FS on $49",614,451,,,,,
20-Jan-15,Tuesday,3,Jan,2015,Next Day of the-Martin Luther King Jr. Day,"Up To 35% Off,FS on $49",330,359,,,,,
21-Jan-15,Wednesday,3,Jan,2015,,No Email Drop,258,419,,,,,
22-Jan-15,Thursday,4,Jan,2015,,"Up To 50% Off,FS on $49",324,360,,,,,
23-Jan-15,Friday,4,Jan,2015,,Free Ship No Min,895,550,,,,,
24-Jan-15,Saturday,4,Jan,2015,,"Up To 50% Off,FS on $49",321,408,,,,,
25-Jan-15,Sunday,4,Jan,2015,,"Up To 50% Off,FS on $49",320,380,,,,,
26-Jan-15,Monday,4,Jan,2015,,"Up To 35% Off,FS on $49",298,408,,,,,
27-Jan-15,Tuesday,4,Jan,2015,,"Up To 35% Off,FS on $49",316,361,,,,,
28-Jan-15,Wednesday,4,Jan,2015,,"20% Off,FS on $49",460,422,,,,,
29-Jan-15,Thursday,5,Jan,2015,,"20% Off,FS on $49",411,362,,,,,
30-Jan-15,Friday,5,Jan,2015,,"20% Off,FS on $49",478,438,,,,,
31-Jan-15,Saturday,5,Jan,2015,,No Email Drop,345,391,,,,,
1-Feb-15,Sunday,1,Feb,2015,,"Up To 40% Off,FS on $49",225,381,,,,,
2-Feb-15,Monday,1,Feb,2015,,No Email Drop,371,455,,,,,
3-Feb-15,Tuesday,1,Feb,2015,,Adverts Only,278,393,,,,,
4-Feb-15,Wednesday,1,Feb,2015,,"Flash Sale,$20 Off,FS on $49",488,423,,,,,
5-Feb-15,Thursday,1,Feb,2015,,"Flash Sale,$20 Off,FS on $49",513,363,,,,,
6-Feb-15,Friday,1,Feb,2015,,Free Ship No Min,696,488,,,,,
7-Feb-15,Saturday,1,Feb,2015,,"Up To 40% Off,FS on $49",264,391,,,,,
8-Feb-15,Sunday,2,Feb,2015,,"Up To 40% Off,FS on $49",224,374,,,,,
9-Feb-15,Monday,2,Feb,2015,,Adverts Only,311,446,,,,,
10-Feb-15,Tuesday,2,Feb,2015,,"Up To 40% Off,FS on $49",315,385,,,,,
11-Feb-15,Wednesday,2,Feb,2015,,"Up To 40% Off,FS on $49",385,415,,,,,
12-Feb-15,Thursday,2,Feb,2015,,"Up To 40% Off,FS on $49",302,356,,,,,
13-Feb-15,Friday,2,Feb,2015,,"Up To 50% Off,FS on $49",381,479,,,,,
14-Feb-15,Saturday,2,Feb,2015,,"Up To 50% Off,FS on $49",302,384,,,,,
15-Feb-15,Sunday,3,Feb,2015,Previous Day of the-President's Day,"$10 Off,FS on $49 Mobile",363,380,,,,,
16-Feb-15,Monday,3,Feb,2015,President's Day,"$10 Off,FS on $49 Mobile",590,453,,,,,
17-Feb-15,Tuesday,3,Feb,2015,Next Day of the-President's Day,"Up To 40% Off,FS on $49",312,391,,,,,
18-Feb-15,Wednesday,3,Feb,2015,,No Email Drop,237,422,,,,,
19-Feb-15,Thursday,3,Feb,2015,,"Up To 50% Off,FS on $49",291,362,,,,,
20-Feb-15,Friday,3,Feb,2015,,Free Ship No Min,467,487,,,,,
21-Feb-15,Saturday,3,Feb,2015,,RD Event,276,390,,,,,
22-Feb-15,Sunday,4,Feb,2015,,Tiered Promo,284,378,,,,,
23-Feb-15,Monday,4,Feb,2015,,Tiered Promo,440,445,,,,,
24-Feb-15,Tuesday,4,Feb,2015,,Tiered Promo,402,388,,,,,
25-Feb-15,Wednesday,4,Feb,2015,,Tiered Promo,491,416,,,,,
26-Feb-15,Thursday,4,Feb,2015,,"Up To 50% Off,FS on $49",341,361,,,,,
27-Feb-15,Friday,4,Feb,2015,,No Email Drop,273,476,,,,,
28-Feb-15,Saturday,4,Feb,2015,,RD Event,304,387,,,,,
1-Mar-15,Sunday,1,Mar,2015,,"30% Off,FS on $100",402,288,,,,,
2-Mar-15,Monday,1,Mar,2015,,"30% Off,FS on $100",494,435,,,,,
3-Mar-15,Tuesday,1,Mar,2015,,"30% Off,FS on $100",681,359,,,,,
4-Mar-15,Wednesday,1,Mar,2015,,No Email Drop,463,287,,,,,
5-Mar-15,Thursday,1,Mar,2015,,Adverts Only,304,309,,,,,
6-Mar-15,Friday,1,Mar,2015,,"Up To 40% Off,FS on $49",320,408,,,,,
7-Mar-15,Saturday,1,Mar,2015,,"Up To 40% Off,FS on $49",235,308,,,,,
8-Mar-15,Sunday,2,Mar,2015,,Free Ship No Min,430,291,,,,,
9-Mar-15,Monday,2,Mar,2015,,No Email Drop,318,444,,,,,
10-Mar-15,Tuesday,2,Mar,2015,,$10 Off Promo,417,365,,,,,
11-Mar-15,Wednesday,2,Mar,2015,,No Email Drop,276,289,,,,,
12-Mar-15,Thursday,2,Mar,2015,,"Up To 40% Off,FS on $49",281,313,,,,,
13-Mar-15,Friday,2,Mar,2015,,"$15 Off,FS on $75",386,416,,,,,
14-Mar-15,Saturday,2,Mar,2015,,"$15 Off,FS on $75",233,312,,,,,
15-Mar-15,Sunday,3,Mar,2015,,"Reveal Your Deal Promo,15, 20% Off,",254,344,,,,,
16-Mar-15,Monday,3,Mar,2015,,No Email Drop,262,521,,,,,
17-Mar-15,Tuesday,3,Mar,2015,,"Up To 40% Off,FS on $49",424,430,,,,,
18-Mar-15,Wednesday,3,Mar,2015,,"Up To 40% Off,FS on $49",381,342,,,,,
19-Mar-15,Thursday,3,Mar,2015,,"Up To 40% Off,FS on $49",281,369,,,,,
20-Mar-15,Friday,3,Mar,2015,,Free Ship No Min,365,488,,,,,
21-Mar-15,Saturday,3,Mar,2015,,Free Ship No Min,371,368,,,,,
22-Mar-15,Sunday,4,Mar,2015,,Tiered Promo,246,303,,,,,
23-Mar-15,Monday,4,Mar,2015,,Tiered Promo,337,458,,,,,
24-Mar-15,Tuesday,4,Mar,2015,,No Email Drop,233,379,,,,,
25-Mar-15,Wednesday,4,Mar,2015,,$10 Off Promo,340,302,,,,,
26-Mar-15,Thursday,4,Mar,2015,,$10 Off Promo,292,325,,,,,
27-Mar-15,Friday,4,Mar,2015,,No Email Drop,215,430,,,,,
28-Mar-15,Saturday,4,Mar,2015,,"Up To 40% Off,FS on $49",265,324,,,,,
29-Mar-15,Sunday,5,Mar,2015,,Adverts Only,177,311,,,,,
30-Mar-15,Monday,5,Mar,2015,,No Email Drop,232,415,,,,,
31-Mar-15,Tuesday,5,Mar,2015,,Free Ship No Min,420,615,,,,,
1-Apr-15,Wednesday,1,Apr,2015,,Free Ship No Min,363,564,,,,,
2-Apr-15,Thursday,1,Apr,2015,,$10 Off Promo,355,424,,,,,
3-Apr-15,Friday,1,Apr,2015,,$10 Off Promo,289,419,,,,,
4-Apr-15,Saturday,1,Apr,2015,,$10 Off Promo,291,333,,,,,
5-Apr-15,Sunday,1,Apr,2015,,"$5 Off, FS on $50",158,316,,,,,
6-Apr-15,Monday,1,Apr,2015,,No Email Drop,229,300,,,,,
7-Apr-15,Tuesday,1,Apr,2015,,Adverts Only,258,340,,,,,
8-Apr-15,Wednesday,2,Apr,2015,,Adverts Only,239,311,,,,,
9-Apr-15,Thursday,2,Apr,2015,,"30% Off,FS on $100",489,394,,,,,
10-Apr-15,Friday,2,Apr,2015,,"30% Off,FS on $100",486,419,,,,,
11-Apr-15,Saturday,2,Apr,2015,,No Email Drop,210,286,,,,,
12-Apr-15,Sunday,2,Apr,2015,,"Flash Sale,25% Off,FS on $49",340,508,,,,,
13-Apr-15,Monday,2,Apr,2015,,"Flash Sale,25% Off,FS on $49",419,465,,,,,
14-Apr-15,Tuesday,2,Apr,2015,,"Up To 40% Off,FS on $49",304,311,,,,,
15-Apr-15,Wednesday,3,Apr,2015,,"$15 Off,FS on $49",366,600,,,,,
16-Apr-15,Thursday,3,Apr,2015,,No Email Drop,251,286,,,,,
17-Apr-15,Friday,3,Apr,2015,,10% Off Promo,214,419,,,,,
18-Apr-15,Saturday,3,Apr,2015,,"15% Off,FS on $60",182,374,,,,,
19-Apr-15,Sunday,3,Apr,2015,,"15% Off,FS on $60",221,322,,,,,
20-Apr-15,Monday,3,Apr,2015,,No Email Drop,247,300,,,,,
21-Apr-15,Tuesday,3,Apr,2015,,Adverts Only,293,311,,,,,
22-Apr-15,Wednesday,4,Apr,2015,,Free Ship No Min,572,615,,,,,
23-Apr-15,Thursday,4,Apr,2015,,Adverts Only,304,311,,,,,
24-Apr-15,Friday,4,Apr,2015,,"15% Off,FS on $60",257,419,,,,,
25-Apr-15,Saturday,4,Apr,2015,,"15% Off,FS on $60",228,345,,,,,
26-Apr-15,Sunday,4,Apr,2015,,"15% Off,FS on $60",243,337,,,,,
27-Apr-15,Monday,4,Apr,2015,,"20% Off,FS on $49",266,450,,,,,
28-Apr-15,Tuesday,4,Apr,2015,,"20% Off,FS on $49",232,367,,,,,
29-Apr-15,Wednesday,5,Apr,2015,,No Email Drop,224,286,,,,,
30-Apr-15,Thursday,5,Apr,2015,,"20% Off,FS on $49",276,378,,,,,
1-May-15,Friday,1,May,2015,,$10 Off Promo,299,424,,,,,
2-May-15,Saturday,1,May,2015,,$10 Off Promo,298,362,,,,,
3-May-15,Sunday,1,May,2015,,No Email Drop,211,305,,,,,
4-May-15,Monday,1,May,2015,,Adverts Only,280,423,,,,,
5-May-15,Tuesday,1,May,2015,,"Flash Sale,25% Off,FS on $49",637,700,,,,,
6-May-15,Wednesday,1,May,2015,,"Flash Sale,25% Off,FS on $49",352,287,,,,,
7-May-15,Thursday,1,May,2015,,Adverts Only,222,355,,,,,
8-May-15,Friday,2,May,2015,,"$30 Off,FS on $100",445,426,,,,,
9-May-15,Saturday,2,May,2015,,"$30 Off,FS on $100",321,425,,,,,
10-May-15,Sunday,2,May,2015,,Free Ship No Min,285,313,,,,,
11-May-15,Monday,2,May,2015,,Free Ship No Min,375,612,,,,,
12-May-15,Tuesday,2,May,2015,,No Email Drop,271,287,,,,,
13-May-15,Wednesday,2,May,2015,,"20% Off,FS on $49",376,288,,,,,
14-May-15,Thursday,2,May,2015,,"Up To 50% Off,FS on $49",233,305,,,,,
15-May-15,Friday,3,May,2015,,"Up To 50% Off,FS on $49",298,345,,,,,
16-May-15,Saturday,3,May,2015,,"Up To 50% Off,FS on $49",230,286,,,,,
17-May-15,Sunday,3,May,2015,,"Up To 50% Off,FS on $49",325,303,,,,,
18-May-15,Monday,3,May,2015,,"$10 Off,FS on $49 Mobile",380,590,,,,,
19-May-15,Tuesday,3,May,2015,,"Up To 50% Off,FS on $49",288,287,,,,,
20-May-15,Wednesday,3,May,2015,,"$5 Off,FS on $25",331,400,,,,,
21-May-15,Thursday,3,May,2015,,"Up To 40% Off,FS on $49",235,306,,,,,
22-May-15,Friday,4,May,2015,,"Up To 40% Off,FS on $49",263,305,,,,,
23-May-15,Saturday,4,May,2015,,"$10 Off,FS on $49 Mobile",188,344,,,,,
24-May-15,Sunday,4,May,2015,Previous Day of the-Memorial Day,"$10 Off,FS on $49 Mobile",185,313,,,,,
25-May-15,Monday,4,May,2015,Memorial Day,"$10 Off,FS on $49 Mobile",305,477,,,,,
26-May-15,Tuesday,4,May,2015,Next Day of the-Memorial Day,"Up To 40% Off,FS on $49",270,287,,,,,
27-May-15,Wednesday,4,May,2015,,No Email Drop,277,287,,,,,
28-May-15,Thursday,4,May,2015,,"$15 Off,FS on $75",236,345,,,,,
29-May-15,Friday,5,May,2015,,"$15 Off,FS on $75",258,335,,,,,
30-May-15,Saturday,5,May,2015,,"$15 Off,FS on $75",216,335,,,,,
31-May-15,Sunday,5,May,2015,,"20% Off,FS on $49",269,274,,,,,
1-Jun-15,Monday,1,Jun,2015,,"20% Off,FS on $49",348,400,,,,,
2-Jun-15,Tuesday,1,Jun,2015,,"20% Off,FS on $49",406,400,,,,,
3-Jun-15,Wednesday,1,Jun,2015,,No Email Drop,276,335,,,,,
4-Jun-15,Thursday,1,Jun,2015,,Free Ship No Min,451,575,,,,,
5-Jun-15,Friday,1,Jun,2015,,Free Ship No Min,483,558,,,,,
6-Jun-15,Saturday,1,Jun,2015,,No Email Drop,230,267,,,,,
7-Jun-15,Sunday,1,Jun,2015,,"Up To 40% Off,FS on $49",260,223,,,,,
8-Jun-15,Monday,2,Jun,2015,,$10 Off Promo,418,520,,,,,
9-Jun-15,Tuesday,2,Jun,2015,,$10 Off Promo,370,345,,,,,
10-Jun-15,Wednesday,2,Jun,2015,,No Email Drop,254,335,,,,,
11-Jun-15,Thursday,2,Jun,2015,,"$20 Off,FS on $80",307,325,,,,,
12-Jun-15,Friday,2,Jun,2015,,"$20 Off,FS on $80",351,385,,,,,
13-Jun-15,Saturday,2,Jun,2015,,No Email Drop,187,267,,,,,
14-Jun-15,Sunday,2,Jun,2015,,"Up To 40% Off,FS on $49",279,252,,,,,
15-Jun-15,Monday,3,Jun,2015,,"Reveal Your Deal, $10, $15, $20 Off",386,401,,,,,
16-Jun-15,Tuesday,3,Jun,2015,,"Reveal Your Deal, $10, $15, $20 Off",264,350,,,,,
17-Jun-15,Wednesday,3,Jun,2015,,"Up To 35% Off,FS on $49",306,324,,,,,
18-Jun-15,Thursday,3,Jun,2015,,"Up To 35% Off,FS on $49",292,329,,,,,
19-Jun-15,Friday,3,Jun,2015,,"Up To 35% Off,FS on $49",316,323,,,,,
20-Jun-15,Saturday,3,Jun,2015,,"Up To 35% Off,FS on $49",236,267,,,,,
21-Jun-15,Sunday,3,Jun,2015,,"Up To 35% Off,FS on $49",266,277,,,,,
22-Jun-15,Monday,4,Jun,2015,,No Email Drop,283,359,,,,,
23-Jun-15,Tuesday,4,Jun,2015,,Friends & Family Event- 20% Off,271,349,,,,,
24-Jun-15,Wednesday,4,Jun,2015,,Friends & Family Event- 20% Off,326,325,,,,,
25-Jun-15,Thursday,4,Jun,2015,,Friends & Family Event- 20% Off,290,310,,,,,
26-Jun-15,Friday,4,Jun,2015,,Friends & Family Event- 20% Off,342,350,,,,,
27-Jun-15,Saturday,4,Jun,2015,,No Email Drop,307,279,,,,,
28-Jun-15,Sunday,4,Jun,2015,,"Up To 40% Off,FS on $49",217,202,,,,,
29-Jun-15,Monday,5,Jun,2015,,"$15 Off,FS on $49",399,257,,,,,
30-Jun-15,Tuesday,5,Jun,2015,,"$15 Off,FS on $49",417,250,,,,,
1-Jul-15,Wednesday,1,Jul,2015,,No Email Drop,349,301,,,,,
2-Jul-15,Thursday,1,Jul,2015,,"$15 Off,FS on $49",471,259,,,,,
3-Jul-15,Friday,1,Jul,2015,Previous Day of the-Independence Day,$10 Off Promo,327,225,,,,,
4-Jul-15,Saturday,1,Jul,2015,Independence Day,$10 Off Promo,257,226,,,,,
5-Jul-15,Sunday,1,Jul,2015,Next Day of the-Independence Day,$10 Off Promo,276,202,,,,,
6-Jul-15,Monday,1,Jul,2015,,$10 Off Promo,461,317,,,,,
7-Jul-15,Tuesday,1,Jul,2015,,No Email Drop,320,250,,,,,
8-Jul-15,Wednesday,2,Jul,2015,,"$5 Off,FS on $25",374,301,,,,,
9-Jul-15,Thursday,2,Jul,2015,,"$5 Off,FS on $25",355,259,,,,,
10-Jul-15,Friday,2,Jul,2015,,"$5 Off,FS on $25",362,454,,,,,
11-Jul-15,Saturday,2,Jul,2015,,No Email Drop,233,226,,,,,
12-Jul-15,Sunday,2,Jul,2015,,"Up To 40% Off,FS on $49",327,202,,,,,
13-Jul-15,Monday,2,Jul,2015,,"Flash Sale,30% Off,FS on $49",660,437,,,,,
14-Jul-15,Tuesday,2,Jul,2015,,"Flash Sale,30% Off,FS on $49",405,391,,,,,
15-Jul-15,Wednesday,3,Jul,2015,,No Email Drop,348,301,,,,,
16-Jul-15,Thursday,3,Jul,2015,,"Up To 40% Off,FS on $49",297,277,,,,,
17-Jul-15,Friday,3,Jul,2015,,Free Ship No Min,491,513,,,,,
18-Jul-15,Saturday,3,Jul,2015,,Bonus Week,123,224,,,,,
19-Jul-15,Sunday,3,Jul,2015,,Bonus Week,335,202,,,,,
20-Jul-15,Monday,3,Jul,2015,,No Email Drop,299,257,,,,,
21-Jul-15,Tuesday,3,Jul,2015,,"$15 Off,FS on $75",360,334,,,,,
22-Jul-15,Wednesday,4,Jul,2015,,"$15 Off,FS on $75",378,301,,,,,
23-Jul-15,Thursday,4,Jul,2015,,"Up To 25% Off,FS on $49",335,277,,,,,
24-Jul-15,Friday,4,Jul,2015,,Black Friday in July,514,389,,,,,
25-Jul-15,Saturday,4,Jul,2015,,No Email Drop,244,218,,,,,
26-Jul-15,Sunday,4,Jul,2015,,"$30 Off,FS on $100",380,211,,,,,
27-Jul-15,Monday,4,Jul,2015,,"$30 Off,FS on $100",481,345,,,,,
28-Jul-15,Tuesday,4,Jul,2015,,"$30 Off,FS on $100",402,269,,,,,
29-Jul-15,Wednesday,5,Jul,2015,,No Email Drop,265,301,,,,,
30-Jul-15,Thursday,5,Jul,2015,,"Up To 40% Off,FS on $49",313,248,,,,,
31-Jul-15,Friday,5,Jul,2015,,Bonus Week,515,224,,,,,
1-Aug-15,Saturday,1,Aug,2015,,Bonus Week,247,204,,,,,
2-Aug-15,Sunday,1,Aug,2015,,Upto 75% offer,277,251,,,,,
3-Aug-15,Monday,1,Aug,2015,,No Email Drop,312,300,,,,,
4-Aug-15,Tuesday,1,Aug,2015,,Upto 75% offer,364,269,,,,,
5-Aug-15,Wednesday,1,Aug,2015,,"20% Off,FS on $49",359,328,,,,,
6-Aug-15,Thursday,1,Aug,2015,,Upto 75% offer,281,249,,,,,
7-Aug-15,Friday,1,Aug,2015,,"$20 Off,FS on $80",316,350,,,,,
8-Aug-15,Saturday,2,Aug,2015,,No Email Drop,250,203,,,,,
9-Aug-15,Sunday,2,Aug,2015,,"7 DOD, Up to 30% Dog",282,251,,,,,
10-Aug-15,Monday,2,Aug,2015,,"7 DOD, 50% Dog",341,319,,,,,
11-Aug-15,Tuesday,2,Aug,2015,,No Email Drop,313,269,,,,,
12-Aug-15,Wednesday,2,Aug,2015,,"7 DOD, 50% Dog",408,328,,,,,
13-Aug-15,Thursday,2,Aug,2015,,No Email Drop,324,249,,,,,
14-Aug-15,Friday,2,Aug,2015,,Free Ship No Min,551,500,,,,,
15-Aug-15,Saturday,3,Aug,2015,,"7 DOD, Up to 30% Dog",357,227,,,,,
16-Aug-15,Sunday,3,Aug,2015,,No Email Drop,265,147,,,,,
17-Aug-15,Monday,3,Aug,2015,,"Up To 40% Off,FS on $49",361,300,,,,,
18-Aug-15,Tuesday,3,Aug,2015,,"$30 Off,FS on $100",527,500,,,,,
19-Aug-15,Wednesday,3,Aug,2015,,"$30 Off,FS on $100",440,345,,,,,
20-Aug-15,Thursday,3,Aug,2015,,No Email Drop,308,247,,,,,
21-Aug-15,Friday,3,Aug,2015,,Free Ship No Min,395,525,,,,,
22-Aug-15,Saturday,4,Aug,2015,,Free Ship No Min,364,345,,,,,
23-Aug-15,Sunday,4,Aug,2015,,"20-40% Off,FS on $49",307,217,,,,,
24-Aug-15,Monday,4,Aug,2015,,"20-40% Off,FS on $49",360,300,,,,,
25-Aug-15,Tuesday,4,Aug,2015,,"20-40% Off,FS on $49",297,269,,,,,
26-Aug-15,Wednesday,4,Aug,2015,,"20-40% Off,FS on $49",469,312,,,,,
27-Aug-15,Thursday,4,Aug,2015,,"20-40% Off,FS on $49",395,249,,,,,
28-Aug-15,Friday,4,Aug,2015,,"20-40% Off,FS on $49",445,267,,,,,
29-Aug-15,Saturday,5,Aug,2015,,RD Event,330,235,,,,,
30-Aug-15,Sunday,5,Aug,2015,,"Up To 40% Off,FS on $49",304,243,,,,,
31-Aug-15,Monday,5,Aug,2015,,"Flash Sale,25% Off,FS on $49",627,400,,,,,
1-Sep-15,Tuesday,1,Sep,2015,,No Email Drop,319,267,,,,,
2-Sep-15,Wednesday,1,Sep,2015,,"$10 Off,FS on $75",309,311,,,,,
3-Sep-15,Thursday,1,Sep,2015,,"$30 Off,FS on $49",300,294,,,,,
4-Sep-15,Friday,1,Sep,2015,,"20% Off,FS on $50",361,310,,,,,
5-Sep-15,Saturday,1,Sep,2015,,"20% Off,FS on $50",320,228,,,,,
6-Sep-15,Sunday,1,Sep,2015,Previous Day of the-Labor Day,"20% Off,FS on $50",278,254,,,,,
7-Sep-15,Monday,1,Sep,2015,Labor Day,"$20 Off,FS on $75",482,388,,,,,
8-Sep-15,Tuesday,2,Sep,2015,Next Day of the-Labor Day,"Up To 40% Off,FS on $49",327,284,,,,,
9-Sep-15,Wednesday,2,Sep,2015,,"Up To 40% Off,FS on $49",367,354,,,,,
10-Sep-15,Thursday,2,Sep,2015,,Free Ship No Min,371,443,,,,,
11-Sep-15,Friday,2,Sep,2015,,Free Ship No Min,438,396,,,,,
12-Sep-15,Saturday,2,Sep,2015,,No Email Drop,258,253,,,,,
13-Sep-15,Sunday,2,Sep,2015,,No Email Drop,287,270,,,,,
14-Sep-15,Monday,2,Sep,2015,,"$15 Off,FS on $49",397,359,,,,,
15-Sep-15,Tuesday,3,Sep,2015,,"Up To 40% Off,FS on $49",365,359,,,,,
